Getting page data for washingtonpost
6181619439_175943345818025 has 1 number of comments
6181619439_286759304668703 has 52 number of comments
6181619439_10150314303774440 has 20 number of comments
6181619439_296591657021928 has 18 number of comments
6181619439_238512819533782 has 16 number of comments
6181619439_129571720477276 has 23 number of comments
6181619439_121947041241010 has 55 number of comments
6181619439_255585934485877 has 51 number of comments
6181619439_139054842859261 has 25 number of comments
6181619439_215578555171964 has 105 number of comments
6181619439_167528413331621 has 23 number of comments
6181619439_239779689402581 has 11 number of comments
6181619439_10150313104169440 has 37 number of comments
6181619439_10150313046304440 has 107 number of comments
6181619439_120602681379033 has 43 number of comments
6181619439_156580371098220 has 43 number of comments
6181619439_197134253693186 has 46 number of comments
6181619439_287984534546026 has 93 number of comments
number of queries is 441
6181619439_120140944759218 has 33 number of comments
6181619439_267418429957604 has 235 number of comments
6181619439_254723981229516 has 89 number of comments
6181619439_166252836794162 has 86 number of comments
6181619439_139219209509619 has 52 number of comments
6181619439_162616173827050 has 19 number of comments
6181619439_274082815947314 has 28 number of comments
6181619439_10150311788709440 has 54 number of comments
6181619439_176165555797317 has 13 number of comments
6181619439_252051681497144 has 65 number of comments
6181619439_270981476266810 has 105 number of comments
6181619439_294649063883614 has 36 number of comments
6181619439_114018735371626 has 80 number of comments
6181619439_206956949370872 has 48 number of comments
6181619439_128722427227348 has 108 number of comments
6181619439_10150310900349440 has 41 number of comments
6181619439_221332651253420 has 57 number of comments
6181619439_281434668552439 has 33 number of comments
6181619439_10150310686454440 has 3 number of comments
6181619439_266736843347665 has 39 number of comments
6181619439_10150310512694440 has 37 number of comments
6181619439_119427901496518 has 87 number of comments
6181619439_284631108216574 has 53 number of comments
6181619439_224698070921916 has 69 number of comments
6181619439_253705944672740 has 16 number of comments
number of queries is 527
6181619439_165744216842542 has 34 number of comments
6181619439_291360900879649 has 196 number of comments
6181619439_197667070305460 has 16 number of comments
6181619439_272425872781812 has 225 number of comments
6181619439_265184833516023 has 16 number of comments
6181619439_285569174788261 has 15 number of comments
6181619439_291894607492193 has 11 number of comments
6181619439_271607046194758 has 38 number of comments
6181619439_151266094967732 has 23 number of comments
6181619439_119091218194953 has 24 number of comments
6181619439_262822647091449 has 28 number of comments
6181619439_213914815339170 has 14 number of comments
6181619439_265121766854229 has 25 number of comments
6181619439_205572512842429 has 12 number of comments
6181619439_172281409518366 has 26 number of comments
6181619439_214793681918198 has 41 number of comments
6181619439_282075741822361 has 39 number of comments
6181619439_165356166883146 has 69 number of comments
6181619439_10150306931434440 has 5 number of comments
6181619439_10150306891124440 has 24 number of comments
6181619439_220466111348260 has 16 number of comments
6181619439_10150306731594440 has 58 number of comments
6181619439_270812242939146 has 48 number of comments
6181619439_194957243910479 has 45 number of comments
6181619439_267758609913739 has 44 number of comments
number of queries is 584
6181619439_112204788887273 has 50 number of comments
6181619439_159611557461288 has 15 number of comments
6181619439_178110255599411 has 59 number of comments
6181619439_214856745245158 has 39 number of comments
6181619439_252007631510463 has 86 number of comments
6181619439_255583684480997 has 20 number of comments
6181619439_118136968291756 has 12 number of comments
6181619439_10150305676924440 has 3 number of comments
6181619439_10150305501209440 has 35 number of comments
6181619439_249586365076621 has 40 number of comments
6181619439_141947555901451 has 92 number of comments
6181619439_251426458227489 has 31 number of comments
6181619439_281458391882929 has 152 number of comments
6181619439_221788924542050 has 28 number of comments
6181619439_196650217070905 has 27 number of comments
6181619439_253198268051785 has 160 number of comments
6181619439_119277404841706 has 59 number of comments
6181619439_10150304122634440 has 2 number of comments
6181619439_143696125725901 has 5 number of comments
6181619439_117746121663587 has 2 number of comments
6181619439_237916832923381 has 10 number of comments
6181619439_275577789133572 has 72 number of comments
6181619439_179151042160911 has 45 number of comments
6181619439_231820363534031 has 98 number of comments
6181619439_164625486955428 has 46 number of comments
number of queries is 657
6181619439_284154828278072 has 27 number of comments
6181619439_178136048929689 has 20 number of comments
6181619439_250731791638852 has 42 number of comments
6181619439_10150302583634440 has 3 number of comments
6181619439_250999634936297 has 89 number of comments
6181619439_273498446002913 has 72 number of comments
6181619439_242923085753955 has 19 number of comments
6181619439_176557362420016 has 29 number of comments
6181619439_240616949317570 has 33 number of comments
6181619439_259393797433502 has 166 number of comments
6181619439_10150301645894440 has 17 number of comments
6181619439_205236299542820 has 18 number of comments
6181619439_215513895178980 has 36 number of comments
6181619439_215237731871449 has 89 number of comments
6181619439_220795537975914 has 28 number of comments
6181619439_10150301272894440 has 19 number of comments
6181619439_217576764968625 has 10 number of comments
6181619439_275005045851435 has 64 number of comments
6181619439_234504659934615 has 55 number of comments
6181619439_140977102665491 has 96 number of comments
6181619439_248662775176449 has 11 number of comments
6181619439_278764095484563 has 33 number of comments
6181619439_117995888303608 has 22 number of comments
6181619439_166380566776664 has 41 number of comments
6181619439_198152556920402 has 50 number of comments
number of queries is 69
6181619439_277417118953014 has 12 number of comments
6181619439_192767390795532 has 16 number of comments
6181619439_215692521826015 has 36 number of comments
6181619439_256967964343346 has 36 number of comments
6181619439_124918767607898 has 10 number of comments
6181619439_248359515199426 has 5 number of comments
6181619439_258973214136995 has 56 number of comments
6181619439_205482576183869 has 123 number of comments
6181619439_148273688600931 has 167 number of comments
6181619439_117340421701864 has 24 number of comments
6181619439_10150297725579440 has 6 number of comments
6181619439_152434748181564 has 40 number of comments
6181619439_217692501618056 has 30 number of comments
6181619439_10150297513519440 has 32 number of comments
6181619439_170597383019693 has 11 number of comments
6181619439_289855227697333 has 4 number of comments
6181619439_209533655775560 has 116 number of comments
6181619439_266312290055541 has 82 number of comments
6181619439_191336754270893 has 70 number of comments
6181619439_235835463131228 has 32 number of comments
6181619439_248295801872791 has 25 number of comments
6181619439_10150296614749440 has 5 number of comments
6181619439_218349924888405 has 224 number of comments
6181619439_10150296450584440 has 31 number of comments
6181619439_249438985100926 has 13 number of comments
number of queries is 135
6181619439_288971114449710 has 48 number of comments
6181619439_275286332490207 has 52 number of comments
6181619439_241251839254681 has 86 number of comments
6181619439_191149007622898 has 33 number of comments
6181619439_273385459358286 has 72 number of comments
6181619439_10150295696654440 has 36 number of comments
6181619439_263029000386766 has 83 number of comments
6181619439_219100261481529 has 109 number of comments
6181619439_10150295460469440 has 16 number of comments
6181619439_257147187658246 has 25 number of comments
6181619439_10150295294449440 has 70 number of comments
6181619439_165721803509515 has 58 number of comments
6181619439_168749463204731 has 36 number of comments
6181619439_234240466626800 has 26 number of comments
6181619439_174819089263291 has 17 number of comments
6181619439_272262172792438 has 47 number of comments
6181619439_176200962456028 has 13 number of comments
6181619439_287744511239710 has 26 number of comments
6181619439_200532013347675 has 41 number of comments
6181619439_123862537715973 has 174 number of comments
6181619439_234695099913910 has 282 number of comments
6181619439_160760737342298 has 28 number of comments
6181619439_105913982849007 has 51 number of comments
6181619439_10150294081104440 has 20 number of comments
6181619439_260021020695877 has 11 number of comments
number of queries is 210
6181619439_191645304239824 has 233 number of comments
6181619439_270292943000854 has 67 number of comments
6181619439_263970566968641 has 76 number of comments
6181619439_208627205868119 has 49 number of comments
6181619439_275618125781845 has 119 number of comments
6181619439_197207800347063 has 27 number of comments
6181619439_238110049567963 has 17 number of comments
6181619439_205324982863294 has 21 number of comments
6181619439_113890825381559 has 148 number of comments
6181619439_10150293101369440 has 4 number of comments
6181619439_175587862516507 has 34 number of comments
6181619439_147289732030011 has 4 number of comments
6181619439_159785000773659 has 8 number of comments
6181619439_10150292850509440 has 26 number of comments
6181619439_247484015289356 has 49 number of comments
6181619439_163916913691727 has 12 number of comments
6181619439_199671030100882 has 17 number of comments
6181619439_198416500224981 has 16 number of comments
6181619439_191616504241079 has 31 number of comments
6181619439_260003747354962 has 8 number of comments
6181619439_197843816949232 has 49 number of comments
6181619439_233275850057056 has 60 number of comments
6181619439_269418456416613 has 21 number of comments
6181619439_287425994604257 has 32 number of comments
6181619439_268969143127077 has 34 number of comments
number of queries is 275
6181619439_122565574509869 has 40 number of comments
6181619439_154329094654033 has 11 number of comments
6181619439_236554359723588 has 38 number of comments
6181619439_279302475414796 has 6 number of comments
6181619439_279352282091250 has 25 number of comments
6181619439_10150289579204440 has 18 number of comments
6181619439_282164671809069 has 65 number of comments
6181619439_112678582169634 has 46 number of comments
6181619439_259556130745985 has 19 number of comments
6181619439_10150289233404440 has 18 number of comments
6181619439_207906752606798 has 39 number of comments
6181619439_171943192884316 has 42 number of comments
6181619439_231052203612700 has 42 number of comments
6181619439_207490465980086 has 112 number of comments
6181619439_216787008374774 has 36 number of comments
6181619439_10150288514264440 has 8 number of comments
6181619439_272544596106854 has 28 number of comments
6181619439_263834030303580 has 56 number of comments
6181619439_264386420252124 has 34 number of comments
6181619439_172313329513094 has 31 number of comments
6181619439_286815417999302 has 68 number of comments
6181619439_135825516514157 has 11 number of comments
6181619439_10150288018729440 has 42 number of comments
6181619439_206009709462966 has 74 number of comments
6181619439_201672113232555 has 2 number of comments
number of queries is 339
6181619439_284369391576545 has 22 number of comments
6181619439_121502981283017 has 41 number of comments
6181619439_166704590077203 has 40 number of comments
6181619439_144901532270006 has 31 number of comments
6181619439_245283962174098 has 36 number of comments
6181619439_147816281976435 has 34 number of comments
6181619439_231431093574284 has 57 number of comments
6181619439_166707926741607 has 44 number of comments
6181619439_10150287080144440 has 4 number of comments
6181619439_204987332899394 has 131 number of comments
6181619439_10150286960629440 has 10 number of comments
6181619439_263529440335160 has 40 number of comments
6181619439_247199811984790 has 53 number of comments
6181619439_190240971046867 has 144 number of comments
6181619439_254785311228366 has 22 number of comments
6181619439_284968928184320 has 53 number of comments
6181619439_165347300210693 has 53 number of comments
6181619439_172251662851488 has 73 number of comments
6181619439_274409992571994 has 51 number of comments
6181619439_273702559323851 has 23 number of comments
6181619439_10150286123409440 has 1 number of comments
6181619439_172760769467215 has 34 number of comments
6181619439_121060081329227 has 22 number of comments
6181619439_10150285973609440 has 9 number of comments
6181619439_196011567131002 has 23 number of comments
number of queries is 405
6181619439_207091536022243 has 32 number of comments
6181619439_244449342258767 has 50 number of comments
6181619439_270227099673056 has 12 number of comments
6181619439_170255226385589 has 84 number of comments
6181619439_266662863352509 has 95 number of comments
6181619439_205316262864104 has 159 number of comments
6181619439_100722793369134 has 2 number of comments
6181619439_113016572134387 has 24 number of comments
6181619439_192656194137170 has 62 number of comments
6181619439_188944847840710 has 109 number of comments
6181619439_172395332836557 has 9 number of comments
6181619439_198942236839932 has 109 number of comments
6181619439_164030283677914 has 95 number of comments
6181619439_186573001416632 has 2 number of comments
6181619439_275220739154859 has 20 number of comments
6181619439_253195091387767 has 23 number of comments
6181619439_109630882474098 has 43 number of comments
6181619439_260924170596606 has 40 number of comments
6181619439_216240168430167 has 12 number of comments
6181619439_206115626118545 has 89 number of comments
6181619439_253511964683306 has 59 number of comments
6181619439_161115363970862 has 7 number of comments
6181619439_142712452490384 has 19 number of comments
6181619439_213322345392357 has 1 number of comments
6181619439_261336173886711 has 21 number of comments
number of queries is 473
6181619439_259602657396190 has 12 number of comments
6181619439_108976182540963 has 28 number of comments
6181619439_160033467413197 has 38 number of comments
6181619439_194034627330548 has 2 number of comments
6181619439_243906665645209 has 38 number of comments
6181619439_10150282086039440 has 6 number of comments
6181619439_196728220394079 has 47 number of comments
6181619439_170605773016039 has 6 number of comments
6181619439_253177608049863 has 21 number of comments
6181619439_228845157166010 has 8 number of comments
6181619439_10150281520389440 has 9 number of comments
6181619439_154965527922348 has 48 number of comments
6181619439_213499868708581 has 23 number of comments
6181619439_141711842590284 has 27 number of comments
6181619439_164097670337667 has 51 number of comments
6181619439_10150281305684440 has 6 number of comments
6181619439_224193694297158 has 67 number of comments
6181619439_10150281164044440 has 25 number of comments
6181619439_258927244131025 has 26 number of comments
6181619439_265916113426144 has 32 number of comments
6181619439_158674350880921 has 37 number of comments
6181619439_240838295961052 has 45 number of comments
6181619439_233967249983205 has 9 number of comments
6181619439_145078498916295 has 11 number of comments
number of queries is 520
6181619439_241902402514138 has 11 number of comments
6181619439_246436478728639 has 150 number of comments
6181619439_10150280429904440 has 16 number of comments
6181619439_118120364955832 has 92 number of comments
6181619439_273541029339684 has 48 number of comments
6181619439_10150280291919440 has 36 number of comments
6181619439_205134182883802 has 11 number of comments
6181619439_243240805710973 has 24 number of comments
6181619439_206261516100110 has 24 number of comments
6181619439_256981760991923 has 107 number of comments
6181619439_263502157007614 has 18 number of comments
6181619439_241197922591015 has 43 number of comments
6181619439_107089359397256 has 196 number of comments
6181619439_214417858614782 has 7 number of comments
6181619439_256325577731910 has 28 number of comments
6181619439_110641732372805 has 4 number of comments
6181619439_10150279396744440 has 10 number of comments
6181619439_185836234819296 has 82 number of comments
6181619439_241648725872653 has 43 number of comments
6181619439_153611108058232 has 34 number of comments
6181619439_144772415614628 has 29 number of comments
6181619439_228443667207390 has 16 number of comments
6181619439_10150278860104440 has 1 number of comments
6181619439_264771270208785 has 5 number of comments
6181619439_167437703333250 has 1 number of comments
number of queries is 579
6181619439_189200037816762 has 19 number of comments
6181619439_10150278609849440 has 1 number of comments
6181619439_212174812172855 has 14 number of comments
6181619439_10150278448679440 has 63 number of comments
6181619439_191174674282184 has 42 number of comments
6181619439_266590986703300 has 15 number of comments
6181619439_233874729991411 has 27 number of comments
6181619439_185718951496763 has 27 number of comments
6181619439_139849476108984 has 68 number of comments
6181619439_254333861263757 has 74 number of comments
6181619439_212434808810860 has 26 number of comments
6181619439_152782131473188 has 7 number of comments
6181619439_221320987916627 has 88 number of comments
6181619439_105249212913246 has 94 number of comments
6181619439_125561280875704 has 59 number of comments
6181619439_130673597029635 has 1 number of comments
6181619439_183927921675745 has 15 number of comments
6181619439_182861875119911 has 44 number of comments
6181619439_10150275922614440 has 16 number of comments
6181619439_104513659654231 has 22 number of comments
6181619439_147797118642472 has 15 number of comments
6181619439_241123872591346 has 70 number of comments
6181619439_276190585731556 has 59 number of comments
6181619439_227210387331790 has 5 number of comments
number of queries is 637
6181619439_10150275424919440 has 23 number of comments
6181619439_115797118522419 has 47 number of comments
6181619439_166280260117206 has 41 number of comments
6181619439_10150275218069440 has 3 number of comments
6181619439_141854129238089 has 3 number of comments
6181619439_10150275105674440 has 61 number of comments
6181619439_151585918260854 has 55 number of comments
6181619439_262670663762963 has 19 number of comments
6181619439_138539682907219 has 33 number of comments
6181619439_260040830686202 has 103 number of comments
6181619439_255761024445328 has 7 number of comments
6181619439_182305685174609 has 48 number of comments
6181619439_224140454303014 has 26 number of comments
6181619439_182230158515751 has 73 number of comments
6181619439_200419063355434 has 46 number of comments
6181619439_210342805686555 has 12 number of comments
6181619439_10150274232034440 has 13 number of comments
6181619439_138208256271804 has 23 number of comments
6181619439_267793326564926 has 8 number of comments
6181619439_218768718171918 has 71 number of comments
6181619439_273343646025183 has 84 number of comments
6181619439_223152047732510 has 27 number of comments
6181619439_204584116270018 has 29 number of comments
6181619439_187006304702336 has 42 number of comments
6181619439_209295392457790 has 7 number of comments
number of queries is 63
6181619439_252368864784997 has 14 number of comments
6181619439_10150273415994440 has 26 number of comments
6181619439_263502807012740 has 95 number of comments
6181619439_253356711353861 has 11 number of comments
6181619439_123202097778601 has 64 number of comments
6181619439_265188803510393 has 5 number of comments
6181619439_210751628982718 has 59 number of comments
6181619439_137164149710178 has 162 number of comments
6181619439_237047076337111 has 24 number of comments
6181619439_10150272648874440 has 1 number of comments
6181619439_102306393207993 has 17 number of comments
6181619439_10150272528299440 has 31 number of comments
6181619439_224204817627859 has 58 number of comments
6181619439_127836767313166 has 17 number of comments
6181619439_199103860154272 has 161 number of comments
6181619439_101908286579913 has 29 number of comments
6181619439_136426579782871 has 53 number of comments
6181619439_10150271799544440 has 1 number of comments
6181619439_237755869601913 has 13 number of comments
6181619439_136255249801246 has 50 number of comments
6181619439_243082889065727 has 15 number of comments
6181619439_158552774225070 has 87 number of comments
6181619439_227812253931884 has 30 number of comments
6181619439_266778463334741 has 33 number of comments
6181619439_268639963146789 has 18 number of comments
number of queries is 129
6181619439_158567560890076 has 93 number of comments
6181619439_252991234723137 has 71 number of comments
6181619439_182489458486088 has 44 number of comments
6181619439_219696154744220 has 1 number of comments
6181619439_261714477189675 has 39 number of comments
6181619439_149204335165545 has 97 number of comments
6181619439_10150270051139440 has 3 number of comments
6181619439_248958621804207 has 97 number of comments
6181619439_10150269894794440 has 59 number of comments
6181619439_222875421096169 has 19 number of comments
6181619439_206570519401495 has 47 number of comments
6181619439_251843568169812 has 113 number of comments
6181619439_267785039899309 has 45 number of comments
6181619439_121055547993274 has 196 number of comments
6181619439_267999486545750 has 208 number of comments
6181619439_10150269168129440 has 4 number of comments
6181619439_274452289238016 has 87 number of comments
6181619439_10150269050529440 has 13 number of comments
6181619439_268483323178840 has 221 number of comments
6181619439_125952350834320 has 77 number of comments
6181619439_112049065563746 has 23 number of comments
6181619439_220599274658194 has 66 number of comments
6181619439_180930738644535 has 7 number of comments
6181619439_152579874825213 has 53 number of comments
6181619439_192886897444524 has 62 number of comments
number of queries is 213
6181619439_216581841724490 has 19 number of comments
6181619439_201596176570149 has 11 number of comments
6181619439_10150268173144440 has 14 number of comments
6181619439_246344095396170 has 9 number of comments
6181619439_219797248067500 has 56 number of comments
6181619439_134166326676244 has 264 number of comments
6181619439_143025042452287 has 10 number of comments
6181619439_188342111231774 has 18 number of comments
6181619439_194445327284615 has 3 number of comments
6181619439_10150267306639440 has 36 number of comments
6181619439_198786550182160 has 11 number of comments
6181619439_234414869933209 has 24 number of comments
6181619439_236557559719808 has 101 number of comments
6181619439_147652768654335 has 7 number of comments
6181619439_234776046566493 has 167 number of comments
6181619439_10150266605259440 has 5 number of comments
6181619439_10150266585454440 has 4 number of comments
6181619439_196711040393399 has 19 number of comments
6181619439_10150266476144440 has 19 number of comments
6181619439_234633453248345 has 6 number of comments
6181619439_119270008170597 has 17 number of comments
6181619439_197019093694541 has 14 number of comments
6181619439_237088106329896 has 177 number of comments
6181619439_102059913230309 has 69 number of comments
number of queries is 262
6181619439_261155207247386 has 24 number of comments
6181619439_256232837727910 has 11 number of comments
6181619439_141647485921775 has 67 number of comments
6181619439_234723179897256 has 183 number of comments
6181619439_110022819099668 has 10 number of comments
6181619439_160560290686356 has 11 number of comments
6181619439_257841930912350 has 31 number of comments
6181619439_141193872635938 has 2 number of comments
6181619439_160950460650152 has 8 number of comments
6181619439_205573182834334 has 71 number of comments
6181619439_244253988940017 has 59 number of comments
6181619439_264520033575227 has 41 number of comments
6181619439_193348780728574 has 46 number of comments
6181619439_10150264086794440 has 18 number of comments
6181619439_232562683446571 has 62 number of comments
6181619439_193324067397617 has 43 number of comments
6181619439_205297432861641 has 75 number of comments
6181619439_179810385422690 has 22 number of comments
6181619439_232557460112731 has 46 number of comments
6181619439_144968052254811 has 41 number of comments
6181619439_204313176289331 has 18 number of comments
6181619439_10150263320604440 has 36 number of comments
6181619439_187099991357398 has 34 number of comments
number of queries is 321
6181619439_262486200428717 has 124 number of comments
6181619439_108713675895209 has 41 number of comments
6181619439_149028738512415 has 33 number of comments
6181619439_159981477409352 has 10 number of comments
6181619439_135003493256584 has 31 number of comments
6181619439_232459486789561 has 51 number of comments
6181619439_10150262562554440 has 25 number of comments
6181619439_268954996453504 has 36 number of comments
6181619439_241953162506244 has 26 number of comments
6181619439_121835377913151 has 6 number of comments
6181619439_230706760300441 has 34 number of comments
6181619439_10150261829339440 has 1 number of comments
6181619439_232041943507509 has 28 number of comments
6181619439_235276956510442 has 18 number of comments
6181619439_10150261706724440 has 30 number of comments
6181619439_176794239058226 has 23 number of comments
6181619439_245190675513484 has 33 number of comments
6181619439_202881356432146 has 33 number of comments
6181619439_200680586652156 has 32 number of comments
6181619439_175654455839569 has 29 number of comments
6181619439_10150261127629440 has 11 number of comments
6181619439_183297218404559 has 50 number of comments
6181619439_139372389483298 has 8 number of comments
number of queries is 375
6181619439_10150260876929440 has 10 number of comments
6181619439_231834536852981 has 27 number of comments
6181619439_255791807783840 has 11 number of comments
6181619439_175316815871432 has 14 number of comments
6181619439_159002900842470 has 27 number of comments
6181619439_174752802597286 has 50 number of comments
6181619439_148010925282500 has 9 number of comments
6181619439_216001295114183 has 6 number of comments
6181619439_138592416229467 has 34 number of comments
6181619439_129888503771984 has 69 number of comments
6181619439_260571953954322 has 177 number of comments
6181619439_158983900845181 has 138 number of comments
6181619439_202447649812559 has 39 number of comments
6181619439_139101656177184 has 20 number of comments
6181619439_257108494319251 has 56 number of comments
6181619439_231880763523076 has 39 number of comments
6181619439_254593824568651 has 18 number of comments
6181619439_214961688554653 has 65 number of comments
6181619439_138013356287561 has 38 number of comments
6181619439_213635052017447 has 78 number of comments
6181619439_150519265028240 has 29 number of comments
6181619439_151921708219936 has 8 number of comments
6181619439_151487611598538 has 16 number of comments
6181619439_244216312265251 has 74 number of comments
6181619439_261301990547650 has 23 number of comments
number of queries is 440
6181619439_10150258509369440 has 1 number of comments
6181619439_10150258482159440 has 26 number of comments
6181619439_10150258439724440 has 15 number of comments
6181619439_10150258381984440 has 19 number of comments
6181619439_239423789425362 has 21 number of comments
6181619439_246586028697096 has 66 number of comments
6181619439_155975357814360 has 39 number of comments
6181619439_195273303866807 has 32 number of comments
6181619439_238655252841006 has 55 number of comments
6181619439_189509897778302 has 53 number of comments
6181619439_128404827252024 has 89 number of comments
6181619439_131274563630942 has 24 number of comments
6181619439_10150257588784440 has 16 number of comments
6181619439_214350461947029 has 19 number of comments
6181619439_182731001793043 has 20 number of comments
6181619439_229379633765400 has 7 number of comments
6181619439_250513458301502 has 40 number of comments
6181619439_172147249525668 has 3 number of comments
6181619439_199246256795851 has 82 number of comments
6181619439_10150257075944440 has 12 number of comments
6181619439_228721580502697 has 21 number of comments
6181619439_215719605143112 has 34 number of comments
6181619439_229458563758806 has 51 number of comments
6181619439_10150256776749440 has 25 number of comments
number of queries is 492
6181619439_200054120048473 has 11 number of comments
6181619439_10150256396104440 has 3 number of comments
6181619439_256020907743343 has 79 number of comments
6181619439_141325049286597 has 17 number of comments
6181619439_253933974634374 has 12 number of comments
6181619439_257413420938177 has 100 number of comments
6181619439_195617150497844 has 27 number of comments
6181619439_10150256007654440 has 74 number of comments
6181619439_113343392097910 has 23 number of comments
6181619439_213684882012591 has 159 number of comments
6181619439_262938933719478 has 19 number of comments
6181619439_146204328794360 has 30 number of comments
6181619439_199000466821300 has 21 number of comments
6181619439_10150255296404440 has 41 number of comments
6181619439_230451780327484 has 17 number of comments
6181619439_10150255189264440 has 49 number of comments
6181619439_117898128306460 has 7 number of comments
6181619439_213528385366620 has 18 number of comments
6181619439_175690415832442 has 55 number of comments
6181619439_246153698746513 has 6 number of comments
6181619439_179332478799696 has 69 number of comments
6181619439_211985768852439 has 23 number of comments
6181619439_149455475134513 has 22 number of comments
6181619439_210735842309730 has 40 number of comments
number of queries is 548
6181619439_193290370731165 has 106 number of comments
6181619439_170664096340301 has 81 number of comments
6181619439_148134225266929 has 82 number of comments
6181619439_117066928389382 has 39 number of comments
6181619439_172288929506531 has 40 number of comments
6181619439_139571429462483 has 6 number of comments
6181619439_111362025629420 has 12 number of comments
6181619439_111426145622301 has 59 number of comments
6181619439_256887280989287 has 18 number of comments
6181619439_264151946934855 has 11 number of comments
6181619439_250599428300932 has 16 number of comments
6181619439_10150252739834440 has 32 number of comments
6181619439_198824320171947 has 16 number of comments
6181619439_125624710864702 has 17 number of comments
6181619439_247349508616117 has 49 number of comments
6181619439_265734460108469 has 84 number of comments
6181619439_144000172348948 has 42 number of comments
6181619439_177046309027930 has 74 number of comments
6181619439_153235328086096 has 11 number of comments
6181619439_10150251948239440 has 129 number of comments
6181619439_196774993712568 has 5 number of comments
6181619439_239933026027621 has 18 number of comments
6181619439_210284019018822 has 217 number of comments
number of queries is 612
6181619439_169853046416133 has 73 number of comments
6181619439_239595862730517 has 161 number of comments
6181619439_10150251281084440 has 3 number of comments
6181619439_10150251261359440 has 70 number of comments
6181619439_229427993763312 has 12 number of comments
6181619439_187306124667679 has 39 number of comments
6181619439_10150251123229440 has 52 number of comments
6181619439_115540155209616 has 25 number of comments
6181619439_185986631464820 has 61 number of comments
6181619439_261312997215870 has 133 number of comments
6181619439_143583485722742 has 19 number of comments
6181619439_128076443948920 has 145 number of comments
6181619439_235791079788426 has 59 number of comments
6181619439_10150250437334440 has 40 number of comments
6181619439_10150250420829440 has 6 number of comments
6181619439_259174184098451 has 32 number of comments
6181619439_10150250292899440 has 6 number of comments
6181619439_208746032506857 has 118 number of comments
6181619439_171967442873897 has 7 number of comments
6181619439_227478903957144 has 14 number of comments
6181619439_127070160717687 has 34 number of comments
6181619439_247556568596814 has 86 number of comments
6181619439_10150249574509440 has 1 number of comments
6181619439_132886086798506 has 3 number of comments
6181619439_221413181235992 has 54 number of comments
number of queries is 72
6181619439_10150249449174440 has 10 number of comments
6181619439_226289997408686 has 145 number of comments
6181619439_238382349518243 has 25 number of comments
6181619439_234829289883679 has 2 number of comments
6181619439_145058868906859 has 63 number of comments
6181619439_236037809759990 has 171 number of comments
6181619439_210681995649259 has 1 number of comments
6181619439_167253483346690 has 48 number of comments
6181619439_234931676537520 has 55 number of comments
6181619439_151759451565633 has 59 number of comments
6181619439_154128397996984 has 21 number of comments
6181619439_188930387833811 has 17 number of comments
6181619439_216406708405895 has 134 number of comments
6181619439_243656588991610 has 32 number of comments
6181619439_252679478075812 has 21 number of comments
6181619439_221379384574119 has 74 number of comments
6181619439_167160353356044 has 97 number of comments
6181619439_151394544937202 has 6 number of comments
6181619439_188842017842762 has 1 number of comments
6181619439_10150247180689440 has 1 number of comments
6181619439_10150247179304440 has 55 number of comments
6181619439_192594824131880 has 125 number of comments
6181619439_10150247057319440 has 23 number of comments
6181619439_122157971212472 has 15 number of comments
6181619439_239615052725205 has 24 number of comments
number of queries is 137
6181619439_234365906596821 has 49 number of comments
6181619439_10150246535889440 has 39 number of comments
6181619439_209588842422323 has 21 number of comments
6181619439_10150246375649440 has 42 number of comments
6181619439_168689369869406 has 25 number of comments
6181619439_10150246244014440 has 15 number of comments
6181619439_145727892174440 has 25 number of comments
6181619439_144286175650685 has 20 number of comments
6181619439_259274884089692 has 60 number of comments
6181619439_208110569236056 has 74 number of comments
6181619439_144926652253729 has 40 number of comments
6181619439_194110377310718 has 10 number of comments
6181619439_10150245573339440 has 3 number of comments
6181619439_130400510381117 has 36 number of comments
6181619439_10150245433734440 has 19 number of comments
6181619439_121563137937700 has 29 number of comments
6181619439_232379556793333 has 82 number of comments
6181619439_247122895316241 has 59 number of comments
6181619439_135166233234341 has 15 number of comments
6181619439_221364487905191 has 32 number of comments
6181619439_130430013712002 has 25 number of comments
6181619439_10150244640259440 has 21 number of comments
6181619439_168580416545860 has 56 number of comments
6181619439_149821041759692 has 15 number of comments
number of queries is 192
6181619439_164423766964691 has 14 number of comments
6181619439_246509868710708 has 94 number of comments
6181619439_120090971416385 has 101 number of comments
6181619439_165427903529547 has 111 number of comments
6181619439_228781960495075 has 54 number of comments
6181619439_10150243736064440 has 33 number of comments
6181619439_230465556985446 has 33 number of comments
6181619439_119832528109506 has 44 number of comments
6181619439_206339079413328 has 2 number of comments
6181619439_219200151457280 has 19 number of comments
6181619439_192667877455559 has 19 number of comments
6181619439_163585160381560 has 106 number of comments
6181619439_219425034768967 has 28 number of comments
6181619439_141764832569418 has 20 number of comments
6181619439_231363406894285 has 13 number of comments
6181619439_190465727674227 has 56 number of comments
6181619439_180066502056628 has 36 number of comments
6181619439_220265598009026 has 39 number of comments
6181619439_118960344865650 has 374 number of comments
6181619439_256029461079517 has 63 number of comments
6181619439_10150241217269440 has 25 number of comments
6181619439_201117946604722 has 10 number of comments
6181619439_109446649152247 has 3 number of comments
number of queries is 256
6181619439_230894266933380 has 34 number of comments
6181619439_122612694496923 has 25 number of comments
6181619439_204553806262152 has 4 number of comments
6181619439_127654223989892 has 18 number of comments
